"topic_id","post_number","author","html_message","timestamp"
1030,13,"51fbea07966712a6","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>xxfuhrerkingxx</strong>:
        </div>
        <div>
          you people all make me sick. He did nothing wrong to deserve it. 
          Everyone just targets him because they don't like him even if he 
          doesn't do anything wrong now. Why don't you sad nerds go find 
          something to do with your lives other than talk **** about someone 
          that doesn't even affect your guys' lives? Oh wait you don't have 
          lives... That's why you're making this thread.<br><br>Inb4 &quot;hurr 
          durr fd897c3091b5bee1 fanboy&quot; no not really. I've seen his stream a 
          couple of times, that's about it, and i'd defend anyone in his 
          position if the same thing were to happen because this thread and 
          you people are full of ****. You all disgust me.<br><br>Gd is like 
          highschool, everyone says everyone in gd is cancerous filth well 
          guess what the same applies to you kids.
        </div>
      </div>
    </div>
    <br>
    <br>
    <a href=""/board/attachment.php?attachmentid=1089123"">1089123</a>

    <p>
      
    </p>
    <div class=""post_attachments"" style=""margin-top: 15px"">
      <fieldset class=""fieldset"">
      

      <table cellpadding=""0"" cellspacing=""3"" border=""0"">
        <tr>
          <td>
            <a href=""attachment.php?attachmentid=1089123"">SPECIAL 
            SNOWFLAKEEEE.gif</a>
          </td>
        </tr>
      </table>
      </fieldset>
    </div>
  </body>
</html>
","2014-10-05 00:00:00"
1030,14,"6f2d35c25fb498ec","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>160a1b78dcdbd065</strong>:
        </div>
        <div>
          i've seen him do well a couple times on irelia and jarvan so just 
          because you havent seen it doesn't mean it hasn't happened and vice 
          versa. i can tell by your assumptions and level of intelligence that 
          you're still in highschool. retarded kid
        </div>
      </div>
    </div>
    <br>
    i was gonna take your bait but fd897c3091b5bee1 drophacked my internet 
    before i could finish the reply.
  </body>
</html>
","2014-10-05 00:00:00"
1030,15,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>1649ddb9d9410e9e</strong>: 
  </div> 
  <div>
    &quot;I can tell you're a ****ing ****** **** ****** kid because how much of an immature little **** you are&quot; 
   <br /> 
   <br /> Gotcha 
  </div> 
 </div> 
</div> 
<br /> fighting fire with fire is a good strategy. i'm also fairly certain there's a few people in here that don't agree with all this **** talk and they wouldn't admit to it because it's not the popular opinion and they'd likely get hate for it so **** it why would they post? i just wanted to say that because if i didn't then no one else wouldve and i don't give a flying **** if you kids hate on me or not. it's not right all the hate he gets or his ban or the fact that no one would dare defend him. you're probably a ****ing douch 
<b>e</b> little kid too 
<p></p>","2014-10-05 00:00:00"
1030,16,"3b6d05057a86f61e","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>160a1b78dcdbd065</strong>:
        </div>
        <div>
          fighting fire with fire is a good strategy. i'm also fairly certain 
          there's a few people in here that don't agree with all this **** 
          talk and they wouldn't admit to it because it's not the popular 
          opinion and they'd likely get hate for it so **** it why would they 
          post? i just wanted to say that because if i didn't then no one else 
          wouldve and i don't give a flying **** if you kids hate on me or 
          not. it's not right all the hate he gets or his ban or the fact that 
          no one would dare defend him. you're probably a ****ing douch <b>e</b> 
          little kid too
        </div>
      </div>
    </div>
    <br>
    These are the kind of people who defend fd897c3091b5bee1 <i>i</i>t
  </body>
</html>
","2014-10-05 00:00:00"
1030,17,"160a1b78dcdbd065","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>6f2d35c25fb498ec</strong>:
        </div>
        <div>
          i was gonna take your bait but fd897c3091b5bee1 drophacked my 
          internet before i could finish the reply.
        </div>
      </div>
    </div>
    <br>
    he drophacked 1 game in season 1 and now he's getting **** for it for the 
    rest of his life? lmao you people are disgusting. find something better to 
    do with your sad lives why don't you? i'm sure if you did something dumb 
    and got **** for it still 3 years later it'd piss you off too don't you 
    think?
  </body>
</html>
","2014-10-05 00:00:00"
1030,18,"1649ddb9d9410e9e","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    he drophacked 1 game in season 1 and now he's getting **** for it for the rest of his life? 
  </div> 
 </div> 
</div> 
<br /> No, he's getting **** for the rest of the life because he's always been a polarizing poster who either you agree with or you hate, because he's a dismissive dick and thinks he's always right about everything. 
<br /> 
<br /> So yeah, if the way you want to play this game is within his personal agenda, I guess he's cool, otherwise he wants everything you play to suck so that he wins every game from then on AND HE WANTS IT RIGHT NOW AND YOU BETTER NOT SAY OTHERWISE. 
<p></p>","2014-10-05 00:00:00"
1030,19,"160a1b78dcdbd065","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>3b6d05057a86f61e</strong>:
        </div>
        <div>
          These are the kind of people who defend fd897c3091b5bee1 ****
        </div>
      </div>
    </div>
    <br>
    i would defend anyone who gets this much unwarranted hate. doesn't matter 
    if he's fd897c3091b5bee1 or not. and who exactly are &quot;these people&quot; do you 
    know me kid? i don't ****ing think so. forum/internet persona =/= real 
    life persona so your comment is pointless irrelevant and invalid in so 
    many ways. you're clearly some kind of mentally retarded clone.
  </body>
</html>
","2014-10-05 00:00:00"
1030,20,"c98ef243292c4c8c","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    he drophacked 1 game in season 1 and now he's getting **** for it for the rest of his life? lmao you people are disgusting. find something better to do with your sad lives why don't you? i'm sure if you did something dumb and got **** for it still 3 years later it'd piss you off too don't you think? 
  </div> 
 </div> 
</div> 
<br /> 
<br /> You act like you aren't disgusting for defending him so hard. Do you have a crush on him wtf. 
<p></p>","2014-10-05 00:00:00"
1030,21,"50dfc88e47001daa","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>1649ddb9d9410e9e</strong>: 
  </div> 
  <div>
    No, he's getting **** for the rest of the life because he's always been a polarizing poster who either you agree with or you hate, because he's a dismissive dick and thinks he's always right about everything. 
   <br /> 
   <br /> So yeah, if the way you want to play this game is within his personal agenda, I guess he's cool, otherwise he wants everything you play to suck so that he wins every game from then on AND HE WANTS IT RIGHT NOW AND YOU BETTER NOT SAY OTHERWISE. 
  </div> 
 </div> 
</div> 
<br /> 
<br /> Pretty much this, he is a decent player, have to be to hit challenger, but he is so far up his own ass it hurts. 
<p></p>","2014-10-05 00:00:00"
1030,22,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>c98ef243292c4c8c</strong>: 
  </div> 
  <div>
    You act like you aren't disgusting for defending him so hard. Do you have a crush on him wtf. 
  </div> 
 </div> 
</div> 
<br /> what part of &quot;i would defend anyone who gets this much unwarranted hate&quot; did you not comprehend? 
<br /> 
<br /> also what part of &quot;fighting fire with fire is a good strategy imo&quot; did you not understand either? 
<br /> 
<br /> 
<br /> ???? 
<br /> 
<br /> are you even reading my posts??? 
<p></p>","2014-10-05 00:00:00"
